"ï»¿web-scraper-order","web-scraper-start-url","Ulasan","label"
"1700618869-1","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Mau ke jogja naik kereta api, ternyata hotel pop ini dekat banget sama stasiun kereta api ini Untuk kebersihan kamar juga perlu diperhatikan lagi, karena kamarnya bau banget rokoknya melekat dan info hanya 1 lantai aja.","negatif"
"1700618869-2","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","staycation disini nyaman kamarnya gampang banget soldnya ada fasilitas pool di lt 5 nya lumayan banget buat nyenengin hati hehe sama liat citylight dari atas lumayan dapet kamar lantainya tinggi. happy","positif"
"1700618869-3","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Sangat nyaman tempatnya puas banget,fasilitas sangat nyaman,tempat parkiran yang luas,pelayanan yang sangat baik,bersih,sangat aman untuk menginap di hotel ini, rekomendasi buat liburan di sini Sangat private","positif"
"1700618869-4","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotel yang harga murah banget bisa berenang juga, pas di kantong saya dan teman teman untuk bermalam di Surabaya, Wifi-nya juga tidak ada kendala di kamar okeh, untuk makanannya saya tidak menggunakan sarapan jadi tidak mencobanya","positif"
"1700618869-5","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Kamar nya bersih nyaman... Pelayanan mantap oke top pokok nya reception ramah dan membantu dengan kak Eva ... Kolam renang bersih . View kamar bagus banget lantai atas sendiri mantap anak anak senang . Thanks","positif"
"1700618869-6","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","staycation bareng sama keluarga di pop hotel asik banget ternyata karna pada saat di kolam renang banyak aktivitas kalau bawa anak anak karna ada dino nya hehehe staff nya rama ramah ada kak ade dan pak chandra yang baik banget","positif"
"1700618869-7","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Kamar bagus ac dingin wifi juga kenceng lokasi di tengah kota enak buat kemana mana jadi dekat lobby hotelnya keren adem juga hehehe makasi kak ade sudah di bantu pesankan taxi bakal kesini lagi untuk kedepanny","positif"
"1700618869-8","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Pop hotel sangat bagus sekali buat mengiap , kamarnya lumayan luas san bersih' nyaman lah pokoknya, breakfast gabung dengan resto harris pilihan menunya buayaaaak sekau heheeh ' dan ygsaya paling suka ada kolam renang","positif"
"1700618869-9","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Solo trip ke surabaya pgn kiat city light jd request lantai tertinggi dan dikasih dong, mbak mbaknya ramah ramah juga ada fasilitas poolnya. Fast respon juga customer servicenya nyaman banget kamarnya","positif"
"1700618869-10","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotel budget yang sangat nyaman karena harganya sangat terjangkau di tengah kota, wifi nya oke lancar; bisa berenang di harris juga jadi anak anak saya juga senang karena ada fasilitas kolamnya . ....","positif"
"1700618869-11","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Mau ke jogja naik kereta api, ternyata hotel pop ini dekat banget sama stasiun kereta api ini Untuk kebersihan kamar juga perlu diperhatikan lagi, karena kamarnya bau banget rokoknya melekat dan info hanya 1 lantai aja.","negatif"
"1700618869-12","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Harga yang cukup terjangkau untuk saya dan teman teman, yang liburan dengan minim budget kantong, karena untuk transit aja kita mau ke banyuwangi dari surakarta jadi cukup untuk beristirahat aja kami bermalam, semuanya sudah baik menurut saya dari segi pelayannya,menyenangkan.","positif"
"1700618869-13","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","bantalnya empuk banget harga nya murah dan masih dapat fasilitas pool juga makanannya ikut resto harris karena mereka ternyata satu gedung breakfastnya lengkap dan enak enak proses checkin sangat lancar dan nyaman","positif"
"1700618869-14","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Menyenangkan, kamar bersih,pelayanan ramah,makanan enak..pokok the best lah...untuk sarapan banyak menu variatif fasilitas lengkap swiming pool bagus banget besar ads anak anak juga kolamnya. Pokoknya rekomended bangett dah","positif"
"1700618869-15","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotel ramah anak dengan fasilitas yang sangat baik, ada permainan anak di area kolam dan ada badut juga, buat kami yang penting anak senang, untuk kamar juga bersih dan wangi kebetulan kami menginap di kamar 1732....terimakasih","positif"
"1700618869-16","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Pilihan hotel budget yang keren dan terjangkau untuk saya dan teman teman saya bermalam di surabaya , wifinya lancar fasilitasnya juga lumayan ada kolam renangnya , pelayannya juga okeh sihh sudah 2x kesini, sarannya pintunya berat saat dibuka","positif"
"1700618869-17","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","selama menginap alhamdulillah tidak ada kendala apapun, cukup memuaskan untuk transit time saya, wifinya cukup lancar tidak ada kendala apapun, harganya terjangkau untuk masyarakat jadi recomlah untuk transit","positif"
"1700618869-18","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","pelayanan bagus. check in dan check out menyenangkan oleh petugas.sarapan makanan enak2 , kamar baik. dan teromakasi kak ade sudah di bantu bawa barang bawaan turun ke lobby dan wifi disini juga kenceng","positif"
"1700618869-19","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Trip keluarga ke surabaya yang menyenangkan , hanya saja saat ini untuk kolam renang tidak bisa di pakai karena ada perbaikan, sudah bolak balik ke sini kalau ke surabaya karena untuk harga juga terjangkau","positif"
"1700618869-20","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Pop gubeng memang bagus banget pelayananya dari staff receptionist sampai houskeeping sangat ramah ramah semua, kamarnya juga bersih dan nyaman sekali buat istirahat semalam, wifi kencang banget. Saya dari kamar 1751","positif"
"1700618869-21","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Hotel pop ternyata kamarnya bagus juga , bersih dan nyaman kalo hanya buat backpakeran , wifi lancar dan semua staff nya ramah ramah semua. Kebetulan saya baru pertama kali menginap di pop hote, next nya kalo mau kemana mana pasti saya pasti ke pop lagi.","positif"
"1700618869-22","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Nice hotel budget , pop hotel sangat recommended buat backpaker seperti saya,kamarnya bersih nyaman dan cukup luas , wifi cepat sekali heheheeh , next nya pasti ke pop hotel lagi kalo mau berpergian, thank you pop hotel","positif"
"1700618869-23","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","Harganya affordable pas banget buat yang mau transit soalnya Deket sama stasiun Gubeng nya akses kemana mana juga gampang dan ada Alfa juga didalem hotel kurang pas untuk keluarga karena kamarnya ga terlalu luas","positif"
"1700618869-24","https://www.tripadvisor.co.id/Hotel_Review-g297715-d7729221-Reviews-POP_Hotel_Gubeng_Surabaya-Surabaya_East_Java_Java.html","- Lokasi strategis, cocok untuk menginap bagi traveler. - Perlu ditambahi fasilitas heater untuk air minum atau dispenser di setiap lantai. Sehingga gues bisa membuat air hangat untuk minum sendiri. - Secara keseluruhan ok sesuai rate yg diberikan.","negatif"
